#: table_doi: 10.17182/hepdata.158359.v1/t20
#: name: Figure 4a_cent7
#: description: Data from Figure 4, panel a, $v_{0}(p_{T})$ for $p^{ref}_{T}$ = 0.5-2 GeV, $\eta_{gap}$=1, 50-60% Centrality
#: data_file: figure_4a_cent7.yaml
#: keyword cmenergies: 5020
#: keyword observables: $v_{0}(p_{T})$
#: keyword reactions: Pb+Pb —> CHARGED X
#: keyword phrases: Radial Flow Fluctuation | $p_{T}$ Differential Radial Flow | Collectivity
$p_{T}$ [GeV],$v_{0}(p_{T})$ (for 50-60% Centrality),statistical +,statistical -,systematic +,systematic -
0.55231,-0.044431,9.1768e-05,-9.1768e-05,0.0013671,-0.0013671
0.64791,-0.035065,0.00012858,-0.00012858,0.001148,-0.001148
0.74831,-0.023929,0.00012418,-0.00012418,0.00097206,-0.00097206
0.84819,-0.013116,0.00013413,-0.00013413,0.00080276,-0.00080276
0.9483,-0.0021884,0.00013651,-0.00013651,0.00072057,-0.00072057
1.0931,0.012981,0.00012693,-0.00012693,0.00080346,-0.00080346
1.2933,0.033574,0.00018227,-0.00018227,0.001127,-0.001127
1.4934,0.05263,0.00016595,-0.00016595,0.0016592,-0.0016592
1.6935,0.070958,0.00020335,-0.00020335,0.0019646,-0.0019646
1.8936,0.088492,0.00027859,-0.00027859,0.0025837,-0.0025837
2.0938,0.10471,0.00029899,-0.00029899,0.002814,-0.002814
2.2939,0.11689,0.00040959,-0.00040959,0.0033246,-0.0033246
2.4941,0.12893,0.00040239,-0.00040239,0.0034814,-0.0034814
2.6942,0.1409,0.00054204,-0.00054204,0.00355,-0.00355
2.8945,0.14926,0.00079008,-0.00079008,0.0036773,-0.0036773
3.0946,0.15598,0.0006311,-0.0006311,0.0042351,-0.0042351
3.2949,0.159,0.00083257,-0.00083257,0.0041946,-0.0041946
3.4951,0.16532,0.0011696,-0.0011696,0.004387,-0.004387
3.6953,0.16571,0.0010539,-0.0010539,0.0048377,-0.0048377
3.8954,0.16977,0.0018019,-0.0018019,0.004768,-0.004768
4.2242,0.17193,0.0012078,-0.0012078,0.0048074,-0.0048074
4.7268,0.17188,0.0014758,-0.0014758,0.0050844,-0.0050844
5.2303,0.17615,0.0019378,-0.0019378,0.0050874,-0.0050874
5.732,0.17223,0.0027521,-0.0027521,0.0050874,-0.0050874
6.2328,0.16981,0.002806,-0.002806,0.0050874,-0.0050874
6.8395,0.1735,0.0035071,-0.0035071,0.0050874,-0.0050874
7.5934,0.1707,0.003674,-0.003674,0.0050874,-0.0050874
8.4608,0.18048,0.0059691,-0.0059691,0.0050874,-0.0050874
9.4614,0.18276,0.0084847,-0.0084847,0.0050874,-0.0050874

