pT_GeVc,pT_err_lo,pT_err_hi,v0pt,stat_err,syst_err,total_err
0.64805168,0.030859604,0.032402584,-0.044722684,0.00089411938,0.00065971278,0.0011111572
0.74811536,0.035624541,0.037405768,-0.027998932,0.000990259,0.00063347311,0.0011755429
0.84814608,0.040387909,0.042407304,-0.01380074,0.0010386762,0.00069434968,0.0012493878
0.94816613,0.045150768,0.047408307,0.0024848366,0.0011764554,0.00076273737,0.0014020755
1.0928187,0.052038987,0.054640937,0.023293033,0.0013720853,0.00082152333,0.0015992244
1.292897,0.061566523,0.064644849,0.051714271,0.0011297419,0.00097027355,0.0014892104
1.4932363,0.071106491,0.074661815,0.07809107,0.0015938375,0.0011687839,0.0019764549
1.6931865,0.08062793,0.084659326,0.099403419,0.0019986108,0.0014177357,0.0024503917
1.8845866,0.089742218,0.094229329,0.12239034,0.0023344078,0.0016824287,0.0028775034
2.0821126,0.099148217,0.10410563,0.14182642,0.0026601744,0.0019908336,0.0033226414
2.2848694,0.10880331,0.11424347,0.15579548,0.0027666348,0.0023459607,0.0036273682
2.6278303,0.12513477,0.13139151,0.17987624,0.0040318016,0.0030217969,0.0050385197
3.3043532,0.15735015,0.16521766,0.21939597,0.0029190965,0.0046697754,0.0055070797
4.0958443,0.1950402,0.20479221,0.23649403,0.0046413979,0.0070754756,0.0084619696
5.0567274,0.24079654,0.25283637,0.26498911,0.0096062208,0.010719753,0.014394186
6.7525673,0.32155082,0.33762836,0.30392945,0.010363013,0.019203167,0.021820946
8.811451,0.4195929,0.44057255,0.35064474,0.023177914,0.032939064,0.040276515
